treatmentGroup,reviewSubjectName,reviewerName,reviewStars,reviewerCount,reviewerAvatar,reviewerLocation,EliteBadge,reviewText,reviewSubjectLocation,reviewSubjectDescription,reviewSubjectImage,reviewKey,Velance(text),stars,Match,Mismathch,0rder,total ambivalance
1,The Tech Hub,Riley,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_1,1,5,0,1,1,
1,Tech Haven,Morgan,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_5,1,1,1,0,2,
1,Device Depo,Jordan,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_9,5,1,0,1,3,
1,DigiMart,Andy,5,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_13,5,5,1,0,4,2
2,The Tech Hub,Jordan,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_2,1,5,0,1,1,
2,Tech Haven,Casey,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_6,1,1,1,0,2,
2,Device Depo,Rudy,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_14,5,5,1,0,3,
2,DigiMart,Avery,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_10,5,1,0,1,4,2
3,The Tech Hub,Avery,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_3,1,5,0,1,1,
3,Tech Haven,Taylor,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_11,1,1,1,0,2,
3,Device Depo,Rudy,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_7,5,1,0,1,3,
3,DigiMart,Alex,5,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_15,5,5,1,0,4,2
4,The Tech Hub,Taylor,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_4,1,5,0,1,1,
4,Tech Haven,Casey,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_16,1,5,0,1,2,
4,Device Depo,Riley,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_8,5,1,0,1,3,
4,DigiMart,Alex,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_12,5,1,0,1,4,4
5,The Tech Hub,Riley,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_1,1,5,0,1,1,
5,Tech Haven,Jordan,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_9,1,1,1,0,2,
5,Device Depo,Andy,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_13,5,5,1,0,3,
5,DigiMart,Morgan,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_5,5,1,0,1,4,2
6,The Tech Hub,Jordan,5,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_2,1,5,0,1,1,
6,Tech Haven,Rudy,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_14,1,5,0,1,2,
6,Device Depo,Avery,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_10,5,1,0,1,3,
6,DigiMart,Casey,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_6,5,1,0,1,4,4
7,The Tech Hub,Rudy,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_7,1,1,1,0,1,
7,Tech Haven,Avery,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_3,1,5,0,1,2,
7,Device Depo,Taylor,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_11,5,1,0,1,3,
7,DigiMart,Alex,5,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_15,5,5,1,0,4,2
8,The Tech Hub,Riley,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_8,1,1,1,0,1,
8,Tech Haven,Taylor,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_4,1,5,0,1,2,
8,Device Depo,Casey,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_16,5,5,1,0,3,
8,DigiMart,Alex,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_12,5,1,0,1,4,2
9,The Tech Hub,Morgan,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_5,1,1,1,0,1,
9,Tech Haven,Jordan,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_9,1,1,1,0,2,
9,Device Depo,Riley,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_1,5,5,1,0,3,
9,DigiMart,Andy,5,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_13,5,5,1,0,4,0
10,The Tech Hub,Casey,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_6,1,1,1,0,1,
10,Tech Haven,Avery,1,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_10,1,1,1,0,2,
10,Device Depo,Rudy,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_14,5,5,1,0,3,
10,DigiMart,Jordan,5,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_2,5,5,1,0,4,0
11,The Tech Hub,Rudy,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_7,1,1,1,0,1,
11,Tech Haven,Alex,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_15,1,5,0,1,2,
11,Device Depo,Avery,5,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_3,5,5,1,0,3,
11,DigiMart,Taylor,1,,avatar_3.png,,,I had a positive experience purchasing from this digital seller. I acquired a laptop and a webcam both of which I'm satisfied with. The service was commendable and the website was user-friendly and intuitive. Overall a pleasant transaction that I would recommend to others. ,,Explore a world of premium digital devices and gadgets designed for every need,store5.jpg,revID_11,5,1,0,1,4,2
12,The Tech Hub,Riley,1,,avatar_3.png,,,Such a letdown! I ordered a Wi-Fi router and got one that hardly works. I sent it back fast but now the seller won't talk about my refund. It's been weeks and I still haven't got my money back. I'm not sure if I can trust this seller anymore. ,,"A one-stop online shop for the latest digital devices, gadgets, and tech essentials",store1.jpg,revID_8,1,1,1,0,1,
12,Tech Haven,Jordan,5,,avatar_3.png,,,I ordered a gaming headset and a mechanical keyboard that I was totally not happy with. I sent the items back quickly and emailed the seller with a request for a refund but it's been over a month and I am still waiting for a response. ,,Your ultimate destination for cutting-edge digital devices and tech solutions,store2.png,revID_16,1,5,0,1,2,
12,Device Depo,Alex,1,,avatar_3.png,,,My experience with this seller has been absolutely amazing. I recently purchased a gaming mouse and a mechanical keyboard both of which are top-notch. Their sleek design and impeccable performance exceeded my expectations. Additionally the customer service team responded promptly to my inquiries further enhancing my satisfaction.,,"Bringing you the best in gadgets, tech, and digital innovation—all in one place",store3.jpg,revID_12,5,1,0,1,3,
